Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
2,resnet50,train,1,2.6474,0.005422927341396964,0.003750068407784717,0.00016937571752991958,0.00803362479655885,0.004162323266705348
2,resnet50,val,1,2.4936,0.009983389161468514,0.01348674518108396,0.0,0.028583613936011994,0.013471768935242462
2,resnet50,train,2,2.4426,0.015520430636588731,0.014454773632105958,0.0009655885084805518,0.029002183305284028,0.014286024021784303
2,resnet50,val,2,2.4168,0.029341842992558823,0.02067997820463018,0.0014148028845833527,0.04542679135018027,0.02291002835627137
2,resnet50,train,3,2.3739,0.02271827949018207,0.01986568421546425,0.0014185473088537386,0.03913531701303401,0.01902042305986549
2,resnet50,val,3,2.4066,0.03067480092786287,0.026705074874460135,0.0020249870936631525,0.053691236785211066,0.026311991277104
2,resnet50,train,4,2.3235,0.026186165758883967,0.02302891315337703,0.0016162667509775715,0.04477392858216203,0.021781554793813968
2,resnet50,val,4,2.4362,0.03179817159578634,0.0258012940254997,0.002087069231461824,0.0525395812363142,0.026550642207872344
2,resnet50,train,5,2.2691,0.03092517088984502,0.028674858150094244,0.00278091669109383,0.05352111973255814,0.02631851098919215
2,resnet50,val,5,2.4364,0.03194770233495527,0.024858094615231006,0.0022413975896538926,0.04906403120985208,0.024367688360996773
2,resnet50,train,6,2.2121,0.03677521126183628,0.03433721923974057,0.0033460579270130305,0.061088738754147755,0.030636856920202703
2,resnet50,val,6,2.4199,0.040046559379674634,0.032715955818666764,0.002577072905499439,0.06308196163842471,0.03146073244473099
2,resnet50,train,7,2.1526,0.043144067818879125,0.04234687070655114,0.006221050923060097,0.07044400433726905,0.03608341235058757
2,resnet50,val,7,2.4109,0.04862837218155893,0.042025480383854126,0.004016012783524758,0.07326969832483439,0.03641308187338051
2,resnet50,train,8,2.0915,0.050934609793081585,0.05108665761703707,0.00841269037441413,0.08165760372237751,0.04186704121884158
2,resnet50,val,8,2.4826,0.042947601397016276,0.040840027843742494,0.006021570573106091,0.07093398364452867,0.036239621254927724
2,resnet50,train,9,2.0393,0.05638987642925403,0.058863588458514804,0.011131939865612495,0.08993567960071183,0.046843954974028
2,resnet50,val,9,2.4731,0.04347774436642051,0.04296192009802422,0.0041602649129793825,0.07375441030635038,0.03787931830568846
2,resnet50,train,10,1.9870,0.06405729209367647,0.06866832067889006,0.015752282955295276,0.10061891654278006,0.0532371516560395
