Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
4,resnet50,train,1,3.0397,4.249430103359568e-05,2.0668538163263355e-05,0.0,0.0002222603785103785,9.96741268194279e-05
4,resnet50,val,1,2.7976,0.0,0.0,0.0,0.0,0.0
4,resnet50,train,2,2.5392,0.004452140225991619,0.0033707370241898775,2.5162160310613085e-05,0.007991480168846547,0.004001631107223672
4,resnet50,val,2,2.4606,0.007142474980330111,0.004037606198749927,0.0001655819713977352,0.00796045967920968,0.003847191338590208
4,resnet50,train,3,2.4587,0.008764831976819269,0.008511222620856837,0.00035816112458810536,0.016954685675585772,0.008887007476782921
4,resnet50,val,3,2.4575,0.013362719413562539,0.012642399194795196,0.0013804018629999194,0.02680121129452021,0.013312885340192164
4,resnet50,train,4,2.3922,0.014551036896751052,0.015608406441242744,0.000739610841679182,0.027500837396927158,0.014168298837546913
4,resnet50,val,4,2.4698,0.020599058855216904,0.021860026634514185,0.0020530850411828593,0.041190526313133975,0.019820763706663733
4,resnet50,train,5,2.3523,0.02042425914004558,0.023528020267671243,0.0011974746517175302,0.038604069835546526,0.019758497665282523
4,resnet50,val,5,2.4718,0.02819355584043487,0.024847065325068866,0.0014176642025198174,0.04552630732505134,0.022361745846611495
4,resnet50,train,6,2.3194,0.02528327303512862,0.02792056116246949,0.0018279215882686549,0.043551460667493616,0.02243357891037953
4,resnet50,val,6,2.4633,0.03673053919398599,0.03233946876517088,0.0016563919765463697,0.0538006030033729,0.026431560420263754
4,resnet50,train,7,2.2782,0.02880291461996816,0.03381480546118253,0.0029988858726320306,0.04989289402181895,0.02583315025855737
4,resnet50,val,7,2.4946,0.03214643624196539,0.029565010825409445,0.0016714404633164206,0.051156793245795945,0.02529659656263347
4,resnet50,train,8,2.2526,0.0321288819028355,0.038397877323962444,0.0034316356180766217,0.05486299988095861,0.028370888875782426
4,resnet50,val,8,2.5065,0.03162445045710153,0.028270010746770293,0.0017526128121923216,0.050910916205753984,0.025427227309736546
4,resnet50,train,9,2.2259,0.03505268847835982,0.04256435457372929,0.0044079356165673215,0.05950151274776059,0.030831354761831305
4,resnet50,val,9,2.4925,0.03588162049825107,0.032497402593222195,0.0017850874662936446,0.054163472062974914,0.027387214689862934
4,resnet50,train,10,2.2008,0.03894327824286582,0.04666217733123671,0.005334480639046817,0.06380488626828905,0.033213768543984654
4,resnet50,val,10,2.5008,0.04119860804485518,0.035869735124977396,0.0018189696951155026,0.0631890644534559,0.03185794808318643
4,resnet50,train,11,2.1787,0.04268606770155054,0.051386158117719835,0.0054443816797791166,0.06934289036864398,0.0358067401020775
4,resnet50,val,11,2.4863,0.0455706325693186,0.04258694254645245,0.003038187549203404,0.06802813695765625,0.034543995317685844
4,resnet50,train,12,2.1530,0.046299499336325996,0.05621709520819572,0.0060594692539050156,0.07443433909230124,0.0386113860190939
4,resnet50,val,12,2.4930,0.04516700817339777,0.0461966573926998,0.005109019965079054,0.07381782122549169,0.03719223764370543
4,resnet50,train,13,2.1323,0.04990068456763348,0.06171998112010412,0.007847362536551983,0.080902758521267,0.042044989031228136
4,resnet50,val,13,2.5147,0.044383345271597,0.04709507182423817,0.004597551879492477,0.07415522825501518,0.037174665377739266
4,resnet50,train,14,2.1096,0.05450516226350609,0.06669321422243378,0.010567719785963192,0.08632220474696778,0.04512835845388755
4,resnet50,val,14,2.5154,0.04827853872649364,0.05107561181314195,0.005048854630963541,0.08095307430889818,0.04103150515701661
4,resnet50,train,15,2.0923,0.05784713372518417,0.07235558173399144,0.01312289308526605,0.09275681957087113,0.04855698858610524
4,resnet50,val,15,2.5356,0.043316662465150604,0.04376991749255321,0.006882622118878383,0.07014547761183527,0.03599755735008022
4,resnet50,train,16,2.0716,0.062976351984494,0.07669138021851142,0.01515519903447458,0.09796234185066038,0.051413285759379035
4,resnet50,val,16,2.5168,0.05174641384317736,0.05381724983213072,0.009085786072160458,0.08144674674242558,0.04182885307879314
4,resnet50,train,17,2.0444,0.06843843207373436,0.08333188101552245,0.01585795199954423,0.10511779879578073,0.05525122182041338
4,resnet50,val,17,2.5453,0.05054288035164949,0.054653915459998474,0.009260081884844952,0.08573641205659373,0.04395133097033213
4,resnet50,train,18,2.0202,0.07327309794726725,0.08924812925665043,0.019552696034746533,0.1111996543203586,0.05909030054336909
4,resnet50,val,18,2.5458,0.04699685069022437,0.05516089368264357,0.007371249895538507,0.08171277470909273,0.041931479109399525
4,resnet50,train,19,1.9999,0.0789100033542971,0.09624508790077645,0.02081470059309134,0.11869722015484535,0.0631773929857614
4,resnet50,val,19,2.5478,0.05660055501347849,0.059541306974711765,0.0083381492981968,0.0849071322998506,0.04421506606311468
4,resnet50,train,20,1.9805,0.0840742355397874,0.10068780413694627,0.023010240846832127,0.12394488921296189,0.06585016617024966
4,resnet50,val,20,2.5679,0.0503305513739358,0.056712964785654775,0.008759436777880807,0.08444908785190655,0.04370114116954249
4,resnet50,train,21,1.9619,0.08846620981261975,0.1072081704149456,0.025505642499365235,0.131015985721204,0.0702690355623798
4,resnet50,val,21,2.6105,0.055755940049763544,0.05486422423410462,0.006555205229874383,0.0847914340299022,0.043387455031837274
4,resnet50,train,22,1.9350,0.09673207518597267,0.11511081827836565,0.029186370674089964,0.1396015628113407,0.07504967721218862
4,resnet50,val,22,2.6003,0.04749744419393384,0.05281518186135266,0.0058056057856902795,0.07725030098282566,0.039765606930779566
