Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
1,resnet50,train,1,4.6766,0.010372275865789189,0.00463675680558041,0.0,0.012514969005353621,0.0055416813429386615
1,resnet50,val,1,3.9349,0.045534458509142055,0.03561935140882509,0.0,0.05974702380952381,0.02685355914589184
1,resnet50,train,2,2.7644,0.108728752194472,0.052548729674047515,0.02518184131503502,0.10720669554804169,0.0653659821119707
1,resnet50,val,2,2.9247,0.11761603375527427,0.05857142857142857,0.03741931683807545,0.10365823412698413,0.07379173707382156
1,resnet50,train,3,2.2822,0.156100372755728,0.08373925060114434,0.04976604842336134,0.1624720431811778,0.08885548134501574
1,resnet50,val,3,3.0257,0.11761603375527427,0.06164942841589549,0.039504726364759296,0.10287698412698414,0.07654141649887314
1,resnet50,train,4,1.9328,0.22570672697546265,0.1446459019397648,0.08022777035416609,0.26543311789706026,0.15266764459466947
1,resnet50,val,4,3.2111,0.110056258790436,0.05397594125917825,0.03800148040886381,0.09816468253968254,0.07754461450163577
1,resnet50,train,5,1.7454,0.2910756300346438,0.2016170506395007,0.10582394884793654,0.36532975571437115,0.23010370268304955
1,resnet50,val,5,3.3082,0.110056258790436,0.055221386800334164,0.03896897476762752,0.09816468253968254,0.07817874599514227
1,resnet50,train,6,1.6206,0.35239523518859445,0.24977409818066876,0.15766893605753085,0.4377716234086427,0.30215197503383223
1,resnet50,val,6,3.3923,0.09106891701828411,0.04769589384974001,0.03458873254470706,0.08157242063492064,0.06669972256758941
1,resnet50,train,7,1.4366,0.40123401944357345,0.28955914656970044,0.18390420215353107,0.49068146063338375,0.3505982654424188
1,resnet50,val,7,3.4474,0.110056258790436,0.058184143222506396,0.041156109828556296,0.09816468253968254,0.07814906392272122
1,resnet50,train,8,1.2579,0.4479161596198313,0.33789808327319404,0.22832843234446615,0.532627128480494,0.39181052624699764
1,resnet50,val,8,3.7083,0.06575246132208157,0.03689064558629776,0.020186664183663508,0.05709325396825397,0.035696831422934366
1,resnet50,train,9,1.1668,0.4898554101947885,0.3794502979442391,0.2650451663420959,0.5906623393260836,0.45809517941710304
1,resnet50,val,9,3.5878,0.09229957805907173,0.06468410090256885,0.040068986806136755,0.09505621693121694,0.06880790968011682
1,resnet50,train,10,1.0183,0.5224421030807282,0.4001126265161102,0.2885318437765712,0.6219595942704953,0.4903567909146182
1,resnet50,val,10,3.6851,0.09106891701828411,0.050680272108843544,0.03826047749292361,0.07137896825396826,0.06612022237022239
1,resnet50,train,11,0.8992,0.5789001747853012,0.47739237688235836,0.35756529230192896,0.6783353230009055,0.5572664242027369
1,resnet50,val,11,3.8222,0.09739803094233473,0.05919942126838678,0.04200322390480788,0.08112599206349205,0.06295525560261678
1,resnet50,train,12,0.8559,0.6073317889537257,0.5058650237079753,0.39283454354049624,0.7082916078391192,0.5910558822462532
1,resnet50,val,12,4.0562,0.10495780590717299,0.06110630006494912,0.038667761834819514,0.08591269841269841,0.06417168411653706
1,resnet50,train,13,0.7267,0.6509987599494498,0.5419093594057791,0.4294344858175014,0.7487604342772612,0.643110006398084
