Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
1,resnet50,train,1,2.1573,0.10712298269865418,0.04515664596129979,0.020152862705327956,0.10019169442632786,0.05981658567294932
1,resnet50,val,1,1.1026,0.4301887714518578,0.21249285420186884,0.13569006199974895,0.41230670542145875,0.29510547645587626
1,resnet50,train,2,0.7376,0.6562738161933959,0.4304221079219102,0.3503116809477719,0.6286498876728763,0.5337021685804079
1,resnet50,val,2,0.4752,0.808037034852791,0.6287118421505714,0.5609907543245309,0.7805914750993626,0.7130480973249583
1,resnet50,train,3,0.3415,0.8581006452154052,0.7163505890937076,0.6627534495123258,0.8341559300720023,0.7785627728085203
1,resnet50,val,3,0.2869,0.8906474137453018,0.7783753207205849,0.7350879797160149,0.8689738786287641,0.8231455505053503
1,resnet50,train,4,0.2004,0.914383379219071,0.8269260621433936,0.7915309143334596,0.8982682618889591,0.8565242473808574
1,resnet50,val,4,0.2147,0.9189989629154355,0.8347860976246569,0.8019103532364181,0.9002295093886378,0.8626365303660483
1,resnet50,train,5,0.1314,0.9441553085721919,0.8862057667998747,0.8622197561973243,0.9327445305413155,0.8977161832313154
1,resnet50,val,5,0.1776,0.9344538041978979,0.8678899280520305,0.841324829962801,0.9171664647694476,0.8838792069335937
1,resnet50,train,6,0.0899,0.9593723459474055,0.9171649854550147,0.8988390897372865,0.9515291864527322,0.9192121062534704
1,resnet50,val,6,0.1570,0.9450756106892393,0.8877938309677251,0.8654415081993118,0.9292612692414576,0.8985269567024848
1,resnet50,train,7,0.0620,0.9795116955302754,0.9510289007004373,0.9397950944212538,0.9761211430694143,0.9471471469034222
1,resnet50,val,7,0.1435,0.9529015041319088,0.9015687791364472,0.8809810320877077,0.9397303001337277,0.9090360235695342
1,resnet50,train,8,0.0418,0.9934325203426543,0.981843617934409,0.9776751295667819,0.9922856392970114,0.9677414107274425
1,resnet50,val,8,0.1343,0.9574923853913299,0.9121337541571567,0.893660873751794,0.9445067322716657,0.9151610778205516
1,resnet50,train,9,0.0264,0.9988661202783856,0.9966722196100418,0.9958499921621872,0.9987018723797569,0.9759387901612173
1,resnet50,val,9,0.1286,0.9578206155553264,0.9104186651461711,0.8917511598717145,0.9449408261258777,0.9152899270794562
1,resnet50,train,10,0.0152,0.9998892023413846,0.9997174200812492,0.9996482287621767,0.9998243343195264,0.977462466135619
1,resnet50,val,10,0.1254,0.9581784312626627,0.9102719575180793,0.8918381033965403,0.9451797207539769,0.9156089292987543
1,resnet50,train,11,0.0084,0.9999546823000048,0.9999073473309211,0.9998896257635468,0.9998767258382644,0.9773858442131342
1,resnet50,val,11,0.1237,0.9581784312626627,0.9102719575180793,0.8918381033965403,0.9451797207539769,0.9156089292987543
1,resnet50,train,12,0.0052,1.0,1.0,1.0,1.0,0.9776585496478774
1,resnet50,val,12,0.1232,0.9581784312626627,0.9100169218081294,0.8915591047260591,0.9451797207539769,0.9155887934179834
1,resnet50,train,13,0.0036,1.0,1.0,1.0,1.0,0.9775596681215247
1,resnet50,val,13,0.1228,0.9581784312626627,0.9102718368895428,0.8918396924500804,0.9451797207539769,0.9156078091804467
1,resnet50,train,14,0.0027,1.0,1.0,1.0,1.0,0.9776329025183922
1,resnet50,val,14,0.1226,0.9581784312626627,0.9100169218081294,0.8915591047260591,0.9451797207539769,0.9155887934179834
1,resnet50,train,15,0.0021,1.0,1.0,1.0,1.0,0.9775825650797249
1,resnet50,val,15,0.1225,0.9581784312626627,0.9100169218081294,0.8915591047260591,0.9451797207539769,0.9155887934179834
1,resnet50,train,16,0.0017,1.0,1.0,1.0,1.0,0.9776518364450751
1,resnet50,val,16,0.1225,0.9581784312626627,0.9103366856156747,0.8919236525379169,0.9451797207539769,0.915604934946909
1,resnet50,train,17,0.0014,1.0,1.0,1.0,1.0,0.9775856622837926
1,resnet50,val,17,0.1224,0.9581784312626627,0.9103366856156747,0.8919236525379169,0.9451797207539769,0.915604934946909
1,resnet50,train,18,0.0012,1.0,1.0,1.0,1.0,0.9776278529147322
1,resnet50,val,18,0.1224,0.9581784312626627,0.9106321635190664,0.892256104489163,0.9451797207539769,0.9156210764758346
1,resnet50,train,19,0.0010,1.0,1.0,1.0,1.0,0.9776530858264862
1,resnet50,val,19,0.1224,0.9581784312626627,0.9109332388841622,0.8925952851919606,0.9451797207539769,0.91563767349764
1,resnet50,train,20,0.0009,1.0,1.0,1.0,1.0,0.9775535080860864
1,resnet50,val,20,0.1225,0.9581784312626627,0.9109332388841622,0.8925952851919606,0.9451797207539769,0.91563767349764
1,resnet50,test,20,0.1296,0.9545278295863724,0.9029910717417935,0.8838959859571577,0.9431610545181492,0.9107515178627885
