Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
1,resnet50,train,1,6.1014,0.0,0.001268788682581786,0.0,0.0018887362637362637,0.0008941135084427767
1,resnet50,val,1,5.4027,0.006329113924050633,0.002645502645502645,0.0,0.005208333333333333,0.002297794117647059
1,resnet50,train,2,4.3343,0.009305384048853846,0.004372247153009396,0.0005746291391030738,0.012483269935193015,0.005490624863772001
1,resnet50,val,2,4.5055,0.032876230661040784,0.013872942977420592,0.0,0.025421626984126984,0.011651384269524513
1,resnet50,train,3,3.3751,0.04274334454101211,0.022321732137032344,0.0009334988034011306,0.04484758030431108,0.021405976891718786
1,resnet50,val,3,3.6849,0.032876230661040784,0.013942307692307698,0.0,0.025421626984126984,0.011651384269524513
1,resnet50,train,4,2.7610,0.0552572295139461,0.03432912595059332,0.002379024394898556,0.0818489803465765,0.03917110474943524
1,resnet50,val,4,3.5743,0.03920534458509142,0.016460507666537817,0.0,0.033234126984126984,0.015137154738990634
1,resnet50,train,5,2.4400,0.11263371578705841,0.06457349105743254,0.02288557146354365,0.13621046421527191,0.07235832525157135
1,resnet50,val,5,3.6302,0.04676511954992968,0.024360093077370568,0.005469709887444194,0.06026785714285714,0.03425265962815281
1,resnet50,train,6,2.1908,0.16112564669408347,0.10580581939213324,0.035205015626576776,0.204043392504931,0.10424422507525997
1,resnet50,val,6,3.7045,0.053094233473980304,0.02981277981277981,0.0,0.08027447089947089,0.0361065132655138
1,resnet50,train,7,1.9946,0.19075896054095015,0.12607027935639553,0.04491344813802001,0.24637319811598657,0.12930159251996348
1,resnet50,val,7,3.7326,0.053094233473980304,0.037301587301587294,0.006773165317569107,0.08790095899470898,0.04694910634708428
1,resnet50,train,8,1.8089,0.240860788567171,0.17596218769735078,0.07758100682247507,0.3083183643279797,0.1727080324997144
1,resnet50,val,8,3.6825,0.045534458509142055,0.025062814070351762,0.005858722438170159,0.05882109788359788,0.032540925213959106
