Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
1,vgg16,train,1,4.3165,0.06203007518796992,0.0,0.0,0.0,0.0
1,vgg16,train,2,4.2155,0.041353383458646614,0.03749999999999999,0.0,0.04619621971595657,0.028686957304691597
1,vgg16,train,3,4.1977,0.07518796992481203,0.03749999999999999,0.0,0.04564144736842105,0.028686957304691597
1,vgg16,train,4,4.1853,0.07518796992481203,0.03749999999999999,0.0,0.04625496031746032,0.028686957304691597
1,vgg16,train,5,4.1600,0.07518796992481203,0.03749999999999999,0.0,0.045889463241436924,0.028686957304691594
1,vgg16,train,6,4.1748,0.07706766917293233,0.03125,0.0,0.03931051587301587,0.02525289137062566
1,vgg16,train,7,4.1141,0.076171875,0.03749999999999999,0.0,0.04577198203842941,0.028686957304691597
1,vgg16,train,8,4.1183,0.07518796992481203,0.03749999999999999,0.0,0.046130952380952384,0.028686957304691597
1,vgg16,train,9,4.0902,0.078,0.03749999999999999,0.0,0.045523966165413536,0.028686957304691594
1,vgg16,train,10,4.0365,0.07518796992481203,0.03749999999999999,0.0,0.04588946324143693,0.028686957304691597
1,vgg16,train,11,4.1295,0.07518796992481203,0.03749999999999999,0.0,0.045138888888888895,0.028686957304691597
1,vgg16,train,12,4.1360,0.07518796992481203,0.03749999999999999,0.0,0.04588946324143693,0.028686957304691597
1,vgg16,train,13,4.1185,0.07518796992481203,0.03749999999999999,0.0,0.045889463241436924,0.028686957304691597
1,vgg16,train,14,4.1225,0.07518796992481203,0.03749999999999999,0.0,0.045523966165413536,0.028686957304691597
1,vgg16,train,15,4.0989,0.07489878542510121,0.03749999999999999,0.0,0.045889463241436924,0.028686957304691597
1,vgg16,train,16,3.9913,0.078,0.03749999999999999,0.0,0.045138888888888895,0.028686957304691594
1,vgg16,train,17,4.0245,0.07349665924276169,0.03749999999999999,0.0,0.04477339181286549,0.026174300961630252
1,vgg16,train,18,4.0953,0.07590132827324478,0.03749999999999999,0.0,0.04588946324143693,0.028686957304691597
1,vgg16,train,19,4.0413,0.07518796992481203,0.03749999999999999,0.0,0.045523966165413536,0.028686957304691597
1,vgg16,train,20,4.0405,0.05827067669172932,0.03125,0.0,0.03784722222222223,0.024603150486509778
1,vgg16,train,21,3.9970,0.06954887218045112,0.043750000000000004,0.0,0.053205202036955127,0.033766784904318
1,vgg16,train,22,4.0167,0.06954887218045112,0.03749999999999999,0.0,0.047005534670008356,0.03059762306556116
1,vgg16,train,23,3.9725,0.08372093023255814,0.03125,0.0,0.037364243943191315,0.024001159904317997
1,vgg16,train,24,3.9842,0.06954887218045112,0.043750000000000004,0.0,0.05316984249840287,0.03296777922249981
1,vgg16,train,25,3.9684,0.06954887218045112,0.043750000000000004,0.0,0.05284158619588186,0.03296777922249981
1,vgg16,train,26,3.9668,0.08082706766917293,0.03749999999999999,0.0,0.046651747321735715,0.029995632483369377
1,vgg16,train,27,3.9643,0.12445414847161572,0.043750000000000004,0.02465033242958173,0.05290032679738562,0.0338145352062421
1,vgg16,train,28,4.0070,0.07789473684210527,0.025,0.0,0.03149801587301587,0.02037007887062566
1,vgg16,train,29,3.8776,0.11926605504587157,0.0625,0.02083333333333334,0.07737434886235196,0.04945106637457006
1,vgg16,train,30,3.8437,0.14798206278026907,0.06875,0.03784562942621864,0.08739419013219324,0.05871737778969349
1,vgg16,train,31,3.8533,0.08430913348946135,0.0625,0.02083333333333334,0.08060369981325864,0.053412469283565474
1,vgg16,train,32,3.8108,0.19172932330827067,0.09374999999999999,0.06249999999999998,0.12137892986141827,0.08982964416031916
